주문ID,주문일자,고객ID,상품ID,수량,할인율,결제수단,판매채널,환불여부
Q1-00001,2026-02-12,2057,3045,4,0.1,간편결제,모바일앱,정상
Q1-00002,2026-02-22,2054,3044,3,0.1,카드,모바일앱,정상
Q1-00003,2026-01-30,2084,3048,4,0.05,카드,모바일앱,정상
Q1-00004,2026-03-05,2091,3001,3,0.2,계좌이체,모바일앱,정상
Q1-00005,2026-02-28,2142,3027,4,0.05,계좌이체,웹,정상
Q1-00006,2026-02-09,2130,3032,4,0.0,간편결제,모바일앱,정상
Q1-00007,2026-01-17,2047,3047,3,0.1,무통장,웹,정상
Q1-00008,2026-01-03,2145,3013,1,0.05,카드,오프라인,정상
Q1-00009,2026-03-26,2084,3017,2,0.0,카드,웹,정상
Q1-00010,2026-01-26,2031,3010,1,0.0,카드,웹,정상
Q1-00011,2026-01-28,2055,3042,1,0.0,카드,모바일앱,정상
Q1-00012,2026-03-03,2119,3055,2,0.15,계좌이체,웹,환불
Q1-00013,2026-01-23,2132,3008,2,0.0,간편결제,모바일앱,정상
Q1-00014,2026-02-03,2060,3013,1,0.15,간편결제,모바일앱,정상
Q1-00015,2026-03-06,2026,3017,2,0.05,카드,웹,정상
Q1-00016,2026-02-23,2031,3049,3,0.1,카드,웹,정상
Q1-00017,2026-03-01,2017,3025,1,0.0,계좌이체,모바일앱,정상
Q1-00018,2026-01-01,2112,3016,2,0.2,카드,웹,정상
Q1-00019,2026-02-10,2081,3018,1,0.05,카드,웹,환불
Q1-00020,2026-02-12,2073,3033,1,0.0,카드,웹,정상
Q1-00021,2026-02-26,2108,3022,1,0.0,카드,모바일앱,환불
Q1-00022,2026-01-14,2133,3008,3,0.0,카드,웹,정상
Q1-00023,2026-01-15,2128,3046,4,0.0,간편결제,웹,환불
Q1-00024,2026-03-10,2022,3024,4,0.1,카드,모바일앱,정상
Q1-00025,2026-03-02,2095,3015,4,0.2,계좌이체,모바일앱,정상
Q1-00026,2026-03-15,2142,3041,4,0.1,계좌이체,웹,정상
Q1-00027,2026-01-25,2124,3041,5,0.05,간편결제,웹,정상
Q1-00028,2026-03-31,2053,3009,2,0.05,카드,모바일앱,정상
Q1-00029,2026-01-25,2063,3005,4,0.15,카드,모바일앱,정상
Q1-00030,2026-02-28,2143,3003,5,0.15,카드,모바일앱,정상
Q1-00031,2026-01-15,2006,3043,3,0.0,카드,모바일앱,정상
Q1-00032,2026-03-24,2085,3035,5,0.2,카드,웹,정상
Q1-00033,2026-01-30,2019,3044,1,0.0,간편결제,모바일앱,환불
Q1-00034,2026-03-14,2144,3035,5,0.15,카드,오프라인,정상
Q1-00035,2026-01-30,2007,3023,3,,카드,오프라인,정상
